UF,TSEcod,uf_des,meso,meso_des,micro,micro_des,mun_des,macro,macro_des
AC,01007,Acre,2,Vale do Acre,4,Rio Branco,Bujari,1,Norte
AC,01015,Acre,2,Vale do Acre,4,Rio Branco,Capixaba,1,Norte
AC,01023,Acre,2,Vale do Acre,4,Rio Branco,Porto Acre,1,Norte
AC,01031,Acre,2,Vale do Acre,3,Sena Madureira,Santa Rosa do Purus,1,Norte
AC,01040,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,Marechal Thaumaturgo,1,Norte
AC,01058,Acre,2,Vale do Acre,5,Brasiléia,Brasiléia,1,Norte
AC,01066,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,Porto Walter,1,Norte
AC,01074,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,Cruzeiro do Sul,1,Norte
AC,01082,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,Rodrigues Alves,1,Norte
AC,01090,Acre,1,Vale do Juruá,1,Cruzeiro do Sul,Mâncio Lima,1,Norte
AC,01104,Acre,1,Vale do Juruá,2,Tarauacá,Jordão,1,Norte
AC,01112,Acre,2,Vale do Acre,5,Brasiléia,Epitaciolândia,1,Norte
AC,01120,Acre,2,Vale do Acre,4,Rio Branco,Acrelândia,1,Norte
AC,01139,Acre,1,Vale do Juruá,2,Tarauacá,Feijó,1,Norte
AC,01392,Acre,2,Vale do Acre,4,Rio Branco,Rio Branco,1,Norte
AC,01457,Acre,2,Vale do Acre,3,Sena Madureira,Sena Madureira,1,Norte
AC,01473,Acre,1,Vale do Juruá,2,Tarauacá,Tarauacá,1,Norte
AC,01490,Acre,2,Vale do Acre,5,Brasiléia,Xapuri,1,Norte
AC,01511,Acre,2,Vale do Acre,4,Rio Branco,Plácido de Castro,1,Norte
AC,01538,Acre,2,Vale do Acre,4,Rio Branco,Senador Guiomard,1,Norte
AC,01554,Acre,2,Vale do Acre,3,Sena Madureira,Manoel Urbano,1,Norte
AC,01570,Acre,2,Vale do Acre,5,Brasiléia,Assis Brasil,1,Norte
AL,27006,Alagoas,3,Leste Alagoano,11,Maceió,Paripueira,2,Nordeste
AL,27014,Alagoas,1,Sertão Alagoano,1,Serrana do Sertão Alagoano,Água Branca,2,Nordeste
AL,27022,Alagoas,1,Sertão Alagoano,1,Serrana do Sertão Alagoano,Pariconha,2,Nordeste
AL,27030,Alagoas,3,Leste Alagoano,12,São Miguel dos Campos,Anadia,2,Nordeste
AL,27049,Alagoas,2,Agreste Alagoano,5,Palmeira dos Índios,Estrela de Alagoas,2,Nordeste
