Ano;SiglaUF;TSEcod;IBGEcod;Municipio
1994;AC;1120;1200013;ACRELANDIA
1994;AC;1570;1200054;ASSIS BRASIL
1994;AC;1058;1200104;BRASILEIA
1994;AC;1007;1200138;BUJARI
1994;AC;1015;1200179;CAPIXABA
1994;AC;1074;1200203;CRUZEIRO DO SUL
1994;AC;1112;1200252;EPITACIOLANDIA
1994;AC;1139;1200302;FEIJO
1994;AC;1104;1200328;JORDAO
1994;AC;1090;1200336;MANCIO LIMA
1994;AC;1554;1200344;MANOEL URBANO
1994;AC;1040;1200351;MARECHAL TAUMATURGO
1994;AC;1511;1200385;PLACIDO DE CASTRO
1994;AC;1023;1200807;PORTO ACRE
1994;AC;1066;1200393;PORTO WALTER
1994;AC;1392;1200401;RIO BRANCO
1994;AC;1082;1200427;RODRIGUES ALVES
1994;AC;1031;1200435;SANTA ROSA DO PURUS
1994;AC;1457;1200500;SENA MADUREIRA
1994;AC;1538;1200450;SENADOR GUIOMARD
1994;AC;1473;1200609;TARAUACA
1994;AC;1490;1200708;XAPURI
1994;AL;27014;2700102;AGUA BRANCA
1994;AL;27030;2700201;ANADIA
1994;AL;27057;2700300;ARAPIRACA
1994;AL;27073;2700409;ATALAIA
1994;AL;27090;2700508;BARRA DE SANTO ANTONIO
1994;AL;27111;2700607;BARRA DE SAO MIGUEL
1994;AL;27138;2700706;BATALHA
1994;AL;27154;2700805;BELEM
1994;AL;27170;2700904;BELO MONTE
1994;AL;27197;2701001;BOCA DA MATA
1994;AL;27219;2701100;BRANQUINHA
1994;AL;27235;2701209;CACIMBINHAS
1994;AL;27251;2701308;CAJUEIRO
1994;AL;27278;2701407;CAMPO ALEGRE
1994;AL;27294;2701506;CAMPO GRANDE
1994;AL;27316;2701605;CANAPI
1994;AL;27332;2701704;CAPELA
1994;AL;27359;2701803;CARNEIROS
1994;AL;27375;2701902;CHA PRETA
1994;AL;27391;2702009;COITE DO NOIA
1994;AL;27413;2702108;COLONIA LEOPOLDINA
1994;AL;27430;2702207;COQUEIRO SECO
1994;AL;27456;2702306;CORURIPE
1994;AL;28894;2702355;CRAIBAS
1994;AL;27472;2702405;DELMIRO GOUVEIA
1994;AL;27499;2702504;DOIS RIACHOS
1994;AL;27049;2702553;ESTRELA DE ALAGOAS
1994;AL;27510;2702603;FEIRA GRANDE
1994;AL;27537;2702702;FELIZ DESERTO
1994;AL;27553;2702801;FLEXEIRAS
1994;AL;27570;2702900;GIRAU DO PONCIANO
1994;AL;27596;2703007;IBATEGUARA
1994;AL;27618;2703106;IGACI
1994;AL;27634;2703205;IGREJA NOVA
1994;AL;27650;2703304;INHAPI
1994;AL;27677;2703403;JACARE DOS HOMENS
1994;AL;27693;2703502;JACUIPE
1994;AL;27715;2703601;JAPARATINGA
1994;AL;27731;2703700;JARAMATAIA
1994;AL;27758;2703809;JOAQUIM GOMES
1994;AL;27774;2703908;JUNDIA
1994;AL;27790;2704005;JUNQUEIRO
1994;AL;27812;2704104;LAGOA DA CANOA
1994;AL;27839;2704203;LIMOEIRO DE ANADIA
1994;AL;27855;2704302;MACEIO
1994;AL;27871;2704401;MAJOR ISIDORO
1994;AL;27979;2704906;MAR VERMELHO
1994;AL;27898;2704500;MARAGOGI
1994;AL;27910;2704609;MARAVILHA
1994;AL;27936;2704708;MARECHAL DEODORO
1994;AL;27952;2704807;MARIBONDO
1994;AL;27995;2705002;MATA GRANDE
1994;AL;28010;2705101;MATRIZ DE CAMARAGIBE
1994;AL;28037;2705200;MESSIAS
1994;AL;28053;2705309;MINADOR DO NEGRAO
1994;AL;28070;2705408;MONTEIROPOLIS
1994;AL;28096;2705507;MURICI
1994;AL;28118;2705606;NOVO LINO
1994;AL;28134;2705705;OLHO D AGUA DAS FLORES
1994;AL;28150;2705804;OLHO D AGUA DO CASADO
1994;AL;28177;2705903;OLHO D AGUA GRANDE
1994;AL;28193;2706000;OLIVENCA
1994;AL;28215;2706109;OURO BRANCO
1994;AL;28231;2706208;PALESTINA
1994;AL;28258;2706307;PALMEIRA DOS INDIOS
1994;AL;28274;2706406;PAO DE ACUCAR
1994;AL;27022;2706422;PARICONHA
1994;AL;27006;2706448;PARIPUEIRA
1994;AL;28290;2706505;PASSO DE CAMARAGIBE
1994;AL;28312;2706604;PAULO JACINTO
1994;AL;28339;2706703;PENEDO
1994;AL;28355;2706802;PIACABUCU
1994;AL;28371;2706901;PILAR
1994;AL;28398;2707008;PINDOBA
