"";"ANO_ELEICAO";"NOME_MUNICIPIO";"UF";"COD_MUN_TSE";"COD_MUN_IBGE"
"1";1998;"Acrelândia";"AC";"01120";"1200013"
"2";1998;"Assis Brasil";"AC";"01570";"1200054"
"3";1998;"Brasiléia";"AC";"01058";"1200104"
"4";1998;"Bujari";"AC";"01007";"1200138"
"5";1998;"Capixaba";"AC";"01015";"1200179"
"6";1998;"Cruzeiro do Sul";"AC";"01074";"1200203"
"7";1998;"Epitaciolândia";"AC";"01112";"1200252"
"8";1998;"Feijó";"AC";"01139";"1200302"
"9";1998;"Jordão";"AC";"01104";"1200328"
"10";1998;"Mâncio Lima";"AC";"01090";"1200336"
"11";1998;"Manoel Urbano";"AC";"01554";"1200344"
"12";1998;"Marechal Thaumaturgo";"AC";"01040";"1200351"
"13";1998;"Plácido de Castro";"AC";"01511";"1200385"
"14";1998;"Porto Walter";"AC";"01066";"1200393"
"15";1998;"Rio Branco";"AC";"01392";"1200401"
"16";1998;"Rodrigues Alves";"AC";"01082";"1200427"
"17";1998;"Santa Rosa do Purus";"AC";"01031";"1200435"
"18";1998;"Senador Guiomard";"AC";"01538";"1200450"
"19";1998;"Sena Madureira";"AC";"01457";"1200500"
"20";1998;"Tarauacá";"AC";"01473";"1200609"
"21";1998;"Xapuri";"AC";"01490";"1200708"
"22";1998;"Porto Acre";"AC";"01023";"1200807"
"23";1998;"Água Branca";"AL";"27014";"2700102"
"24";1998;"Anadia";"AL";"27030";"2700201"
"25";1998;"Arapiraca";"AL";"27057";"2700300"
"26";1998;"Atalaia";"AL";"27073";"2700409"
"27";1998;"Barra de Santo Antônio";"AL";"27090";"2700508"
"28";1998;"Barra de São Miguel";"AL";"27111";"2700607"
"29";1998;"Batalha";"AL";"27138";"2700706"
"30";1998;"Belém";"AL";"27154";"2700805"
"31";1998;"Belo Monte";"AL";"27170";"2700904"
"32";1998;"Boca da Mata";"AL";"27197";"2701001"
"33";1998;"Branquinha";"AL";"27219";"2701100"
"34";1998;"Cacimbinhas";"AL";"27235";"2701209"
"35";1998;"Cajueiro";"AL";"27251";"2701308"
"36";1998;"Campestre";"AL";"27081";"2701357"
"37";1998;"Campo Alegre";"AL";"27278";"2701407"
"38";1998;"Campo Grande";"AL";"27294";"2701506"
"39";1998;"Canapi";"AL";"27316";"2701605"
"40";1998;"Capela";"AL";"27332";"2701704"
"41";1998;"Carneiros";"AL";"27359";"2701803"
"42";1998;"Chã Preta";"AL";"27375";"2701902"
"43";1998;"Coité do Nóia";"AL";"27391";"2702009"
"44";1998;"Colônia Leopoldina";"AL";"27413";"2702108"
"45";1998;"Coqueiro Seco";"AL";"27430";"2702207"
"46";1998;"Coruripe";"AL";"27456";"2702306"
