uf;eleicoes_2018;eleicoes_2014;eleicoes_2010;eleicoes_2006;eleicoes_2002;eleicoes_1998;eleicoes_1994;eleicoes_1990
AC;2;1;2;1;2;1;2;1
AL;2;1;2;1;2;1;2;1
AP;2;1;2;1;2;1;2;1
AM;2;1;2;1;2;1;2;1
BA;2;1;2;1;2;1;2;1
CE;2;1;2;1;2;1;2;1
DF;2;1;2;1;2;1;2;1
ES;2;1;2;1;2;1;2;1
GO;2;1;2;1;2;1;2;1
MA;2;1;2;1;2;1;2;1
MT;2;1;2;1;2;1;2;1
MS;2;1;2;1;2;1;2;1
MG;2;1;2;1;2;1;2;1
PA;2;1;2;1;2;1;2;1
PB;2;1;2;1;2;1;2;1
PR;2;1;2;1;2;1;2;1
PE;2;1;2;1;2;1;2;1
PI;2;1;2;1;2;1;2;1
RJ;2;1;2;1;2;1;2;1
RN;2;1;2;1;2;1;2;1
RS;2;1;2;1;2;1;2;1
RO;2;1;2;1;2;1;2;1
RR;2;1;2;1;2;1;2;1
SC;2;1;2;1;2;1;2;1
SP;2;1;2;1;2;1;2;1
SE;2;1;2;1;2;1;2;1
TO;2;1;2;1;2;1;2;1
