nome_uf;uf;nome_municipio;cod_ibge;cod_tse;2000;2004;2008;2012;2016
Rondônia;RO;Alta Floresta D'Oeste;1100015;  310; 9; 9; 9;10;10
Rondônia;RO;Alto Alegre dos Parecis;1100379;  736; 9; 9; 9; 9; 9
Rondônia;RO;Alto Paraíso;1100403;  639; 9; 9; 9;11;11
Rondônia;RO;Alvorada D'Oeste;1100346;  337;11; 9; 9;11;11
Rondônia;RO;Ariquemes;1100023;   78;15;10;10;13;13
Rondônia;RO;Buritis;1100452;  779; 9; 9; 9;11;11
Rondônia;RO;Cabixi;1100031;  450; 9; 9; 9; 9; 9
Rondônia;RO;Cacaulândia;1100601;  620; 9; 9; 9; 9; 9
Rondônia;RO;Cacoal;1100049;   94;10;10;10;12;12
Rondônia;RO;Campo Novo de Rondônia;1100700;  671; 9; 9; 9; 9; 9
Rondônia;RO;Candeias do Jamari;1100809;  477; 9; 9; 9; 9; 9
Rondônia;RO;Castanheiras;1100908;  531; 9; 9; 9; 9; 9
Rondônia;RO;Cerejeiras;1100056;  272; 9; 9; 9; 9; 9
Rondônia;RO;Chupinguaia;1100924;  809; 9; 9; 9; 9; 9
Rondônia;RO;Colorado do Oeste;1100064;  230;11; 9; 9;11;11
Rondônia;RO;Corumbiara;1100072;  655; 9; 9; 9; 9; 9
Rondônia;RO;Costa Marques;1100080;  213; 9; 9; 9; 9; 9
Rondônia;RO;Cujubim;1100940;  680; 9; 9; 9;11;11
Rondônia;RO;Espigão D'Oeste;1100098;  256; 9; 9; 9;11;11
Rondônia;RO;Governador Jorge Teixeira;1101005;  612; 9; 9; 9; 9; 9
Rondônia;RO;Guajará-Mirim;1100106;   19;13; 9; 9;11;11
Rondônia;RO;Itapuã do Oeste;1101104;  493; 9; 9; 9; 9; 9
Rondônia;RO;Jaru;1100114;  159;15;10;10;15;15
Rondônia;RO;Ji-Paraná;1100122;   51;17;11;11;17;17
Rondônia;RO;Machadinho D'Oeste;1100130;  396; 9; 9; 9;13;11
Rondônia;RO;Ministro Andreazza;1101203;  604; 9; 9; 9; 9; 9
Rondônia;RO;Mirante da Serra;1101302;  574; 9; 9; 9; 9; 9
Rondônia;RO;Monte Negro;1101401;  663; 9; 9; 9; 9; 9
Rondônia;RO;Nova Brasilândia D'Oeste;1100148;  370; 9; 9; 9; 9; 9
Rondônia;RO;Nova Mamoré;1100338;  434; 9; 9; 9;11;11
Rondônia;RO;Nova União;1101435;  744; 9; 9; 9; 9; 9
Rondônia;RO;Novo Horizonte do Oeste;1100502;  515; 9; 9; 9; 9; 9
Rondônia;RO;Ouro Preto do Oeste;1100155;  175;15; 9; 9; 9; 9
Rondônia;RO;Parecis;1101450;  701; 9; 9; 9; 9; 9
Rondônia;RO;Pimenta Bueno;1100189;  116;13; 9; 9;13;10
Rondônia;RO;Pimenteiras do Oeste;1101468;  787; 9; 9; 9; 9; 9
Rondônia;RO;Porto Velho;1100205;   35;21;16;16;21;21
Rondônia;RO;Presidente Médici;1100254;  191; 9; 9; 9; 9; 9
Rondônia;RO;Primavera de Rondônia;1101476;  728; 9; 9; 9; 9; 9
Rondônia;RO;Rio Crespo;1100262;  647; 9; 9; 9; 9; 9
Rondônia;RO;Rolim de Moura;1100288;  299;11;10;10;11; 9
Rondônia;RO;Santa Luzia D'Oeste;1100296;  353;11; 9; 9; 9; 9
